fit,user_id,bust_size,item_id,weight,rating,rented_for,review_text,body_type,review_summary,category,height,size,age,review_date,sent_score,cluster,fit_type,body_type_encoded,fit_type_encoded
fit,420272,34d,2260466,137.0,10.0,vacation,"An adorable romper! Belt and zipper were a little hard to navigate in a full day of wear/bathroom use, but that's to be expected. Wish it had pockets, but other than that-- absolutely perfect! I got a million compliments.",hourglass,So many compliments!,romper,68.0,14,28.0,2016-04-20,2.0,1,small,3,2
fit,273551,34b,153475,132.0,10.0,other,"I rented this dress for a photo shoot. The theme was ""Hollywood Glam and Big Beautiful Hats"". The dress was very comfortable and easy to move around in. It is definitely on my list to rent again for another formal event. ",straight & narrow,I felt so glamourous!!!,gown,66.0,12,36.0,2013-06-18,3.0,2,large,6,1
fit,360448,34b,1063761,130.0,10.0,party,This hugged in all the right places! It was a perfect dress for my event and I received so many compliments on it. Not to mention customer service was great getting this to me in less than 24 hours!,hourglass,It was a great time to celebrate the (almost) completion of my first year of law school.,sheath,64.0,4,116.0,2015-12-14,6.0,2,large,3,1
fit,909926,34c,126335,135.0,8.0,formal affair,"I rented this for my company's black tie awards banquet.  I liked that this dress was short but was a little fancier with the sequins. (I generally don't care for long dresses.)  I would describe the color as more rose gold than yellow gold.  I have blonde hair and fair skin, and the color was very flattering.  This is a very forgiving dress! It's form fitting without making you feel like you're squeezed into it.  I would rent this one again.  Highly recommend!",pear,Dress arrived on time and in perfect condition. ,dress,65.0,8,34.0,2014-02-12,3.0,2,large,4,1
fit,151944,34b,616682,145.0,10.0,wedding,"I have always been petite in my upper body and extremely athletic. 
I'm 5'9 and typically am a size 4,6,8 due to the fact I had a smaller upper frame and 34B cup. Depends what fabric were talking about too! 
However, because I have been lifting weights my back has grown (odd to add- but figured I'd say it knowing other people lift weights) My lat area is so wide that I was suffocating in a size 6. If I wasn't as muscular in my back I would've been fine. I would recommend to go up a size if you are into lifting weights and very broad in your upper body. ",athletic,Was in love with this dress !!!,gown,69.0,12,27.0,2016-09-26,3.0,1,small,1,2
fit,734848,32b,364092,138.0,8.0,date,"Didn't actually wear it. It fit perfectly. The fabric is a little thicker, so higher quality. Felt a bit too conservative for my taste. I rented it for the color and loved the berry shade of red.",athletic,Traditional with a touch a sass,dress,68.0,8,45.0,2016-04-30,0.0,2,large,1,1
fit,336066,34c,568429,112.0,10.0,everyday,"This dress is so sweet. I loved the print. The fit is loose with a tie for the waist, which means it should flatter most figures. Another win from Kate Spade!",hourglass,LITERALLY THE CUTEST DRESS EVER,dress,63.0,4,27.0,2017-12-07,0.0,2,large,3,1
fit,86661,34d+,130259,118.0,10.0,formal affair,Fit was great. Maybe a little tight under the arms. ,full bust,"Great dress, beautifully made.  I received lots of compliments!",dress,63.0,8,65.0,2013-01-01,8.0,1,small,2,2
fit,166228,36d,1729232,130.0,10.0,formal affair,"I was nervous of it looking cheap when it arrived but I received a ton of compliments on it and it had built in support. I am a 36D and there was still that I was able to wear a bra with it with no problem. Wore with 3-4"" heels and it was perfect length.",full bust,Great for black tie event!,gown,66.0,21,27.0,2016-06-27,3.0,2,large,2,1
fit,154309,32b,1729232,114.0,10.0,formal affair,"The dress was very flattering and fit perfectly through my stomach and hips. I have a booty so I always worry about how things are going to fit, but this was amazing. I have a small chest and didn't fill out the built in bra as much as I would have liked, but it still looked great and I was comfortable in it. The dress had more stretch and give than I thought it would. I was worried I wouldn't be able to enjoy dancing and while I couldn't bust out break dance moves, I was able to dance without feeling completely restricted. I am always a zero in dresses and this fit true to size. I'm short, 5'3"" and I thought the length was perfect with a heel. Overall I'm very pleased with my order!! Thank you RTR!",petite,This dress was everything! It was perfect for the masquerade ball we attended!,gown,63.0,1,33.0,2016-10-17,3.0,1,small,5,2
small,185966,34b,1077123,135.0,8.0,party,The dress arrived with a small hole in the beading on the front but wasn't too noticeable. Glad I was able to get two sizes because the 4 was a little tight and would've made for an uncomfortable night of dancing! ,athletic,It was fun to wear a dress I wouldn't normally buy! ,dress,63.0,12,33.0,2018-01-02,4.0,2,large,1,1
large,533900,34b,130259,135.0,8.0,wedding,"This dress was absolutely gorgeous and I received so many compliments!  I wore it to a black tie NYE wedding, and even though it was short, I felt like the fabric, fit, and the way it sparkled made it fit in just fine with the other formal gowns.  I usually wear a 6 or an 8 in dresses.  I ordered a 4 and a 6, and true to other reviewers' comments, the 4 fit me very well.  The chest area was just a tad loose, but that typically happens when I try on dresses...nothing a more padded bra couldn't fix!  The cut and fit were very figure flattering.  By the end of the evening I experience a little chafing under my arms from the sequins, but that was after 5 hours and it was very minor.  Thank you RTR for a great first experience, I'll definitely be back!",pear,"Stunning dress, perfect for a New Year's Eve wedding!",dress,66.0,8,30.0,2013-01-07,7.0,2,large,4,1
fit,87660,36a,1295171,120.0,10.0,party,"The S was snug but in a good way. I wore a push up bra, but this dress made me look like a 34C! I wore spanx, too. Overall great dress! The only downside was that the sequins ripped up my bachelorette sash. There were strings everywhere but still felt like a million bucks. ",straight & narrow,This dress made me feel so confident & sexy! ,sheath,66.0,8,26.0,2016-07-28,5.0,0,fit,6,0
large,391778,36d,143094,142.0,8.0,party,"I ordered this dress as a replacement because I thought my original order would be too small.  This dress fit my abdomen well, but it hung slack around my shoulders and neck.  I wouldn't recommend a large size for apple body shapes; get the smaller size and let it hug you!",apple,Ordered this as a replacement dress,dress,62.0,20,29.0,2014-10-04,0.0,1,small,0,2
fit,721308,34b,123793,118.0,10.0,formal affair,"Fit great, super flattering",athletic,Stunning gown. Wore this for heart ball and received compliments all night,gown,65.0,2,32.0,2014-05-29,6.0,1,small,1,2
fit,829124,34c,2595752,140.0,10.0,party,Medium would have been a better fit but large worked for a night out.  Pants were high enough that they wouldve looked cute with a crop top too.  Very comfortable.  Would love to own a pair.,hourglass,These leggings are awesome!,leggings,67.0,20,30.0,2016-05-16,4.0,2,large,3,1
fit,499943,34c,909221,170.0,10.0,vacation,This dress is just darling. I would absolutely wear it again. It fits true to size with a little room. I have larger hips and this dress fit fine and highlighted my smaller waist.  It isn't too tight around your middle and I was really comfortable in this one. I wore it out to dinner in Vegas and really felt amazing. ,pear,Really cute and comfortable.,dress,68.0,20,35.0,2017-03-28,4.0,2,large,4,1
fit,339899,34d,1622747,143.0,10.0,party,"Little tight, but loved this dress!!!",athletic,LOVED,dress,65.0,12,26.0,2017-11-13,3.0,1,small,1,2
fit,649288,34b,172027,115.0,8.0,wedding,"This is a pretty and fun dress with vibrant colors. I thought the dress ran true to size. The picture of the dress on the model can make the dress seem too short, but the length was perfect for me who's a bit smaller in height.  I paired the dress with pink earrings (via RTR) and black heels.",petite,Semi-formal wedding,dress,63.0,8,28.0,2017-07-03,0.0,2,large,5,1
small,16800,34c,1229740,135.0,10.0,formal affair,"super cute, 8 was super tight so i wore the 10. if you have booty and hips prob want to get the 10. don't need bra and it has structure to give you shape. the train in the back is extra classy to give it another emphasis for formal. ",petite,gala ready ,gown,66.0,21,33.0,2017-11-16,0.0,2,large,5,1
fit,661150,36d,900878,145.0,10.0,wedding,"I rented this dress for a spring wedding. I had originally rented an 8 and 10 and when I saw that the straps were quite long (make sure you wear them criss-crossed), I contacted the RTR customer service who suggested sizing down. I did that and ended up wearing the 6. It fit great. I wore a backless sticky bra and was good all day! The top is fitted, so that helped to keep everything still while I was on the dance floor, too. The dress was casual enough for a daytime, outdoor ceremony, but also dressy enough for the party. The material is heavy and elegant - I received compliments all day long! I have bigger hips and was still able to size down due to the full skirt. I would recommend that instead of sizing up where you may be inadvertently showing more side boob than you might want! Lastly, I wore the Tova Blue Mohawk earrings which seem like they were made for this dress. Compliments on those as well. I can always count on RTR to make me look like a million bucks!",hourglass,Perfect for a spring wedding!,dress,65.0,12,33.0,2017-05-23,3.0,2,large,3,1
fit,983550,32d+,197391,140.0,8.0,other,"I wore this dress to my daughter's baptism. It was perfect for a more formal, daytime affair. I felt fashionable and put together, despite having the flu! I received many compliments. I paired the dress with nude pumps.",hourglass,"Fashionable, conservative dress",dress,66.0,12,30.0,2015-02-22,0.0,2,large,3,1
fit,871659,36c,2736018,130.0,10.0,work,"Super cute; love the 3/4 length sleeves. With a wider sleeve, I always want something shorter so that it doesn't drag. I wore with black pants and pumps for the office, but could have dressed down with jeans too. If I didn't hate ironing so much (and this shirt definitely needs to be ironed!!) I would have bought it. The gathering at the sleeves prevents this from being too big overall.

Note: wear with high-waisted pants or you'll show your stomach. Ladies who are smaller across the shoulders could probably size down one, but I like the oversized fit. ",pear,Wore to work,top,65.0,20,32.0,2017-03-16,0.0,2,large,4,1
fit,497541,34c,382883,120.0,8.0,work,"I loved everything about this dress! Well made with a great color combination ( pictures don't do it justice). My issue was after just having a baby, it did not hide the area I needed hiding & because of the way the skirt is shaped made me look slightly bigger. I think it the top dropped down just a tad longer it would have looked better. Not the fault of the dress. My body just did not work well with this style",apple,Well made dress & super trendy,dress,66.0,1,21.0,2016-02-01,3.0,2,large,0,1
fit,862005,32c,134393,140.0,10.0,wedding,"It fit perfectly - I have a small waist, normal-to-small bust and big hips, so it fit in all of the right places. It was borderline too short, but I usually prefer a bit of length. It was still easy to dance and sit in. I got lots of compliments and finally recommended RTR to a few friends!",pear,Great dress for a wedding with long ceremonies and lots of dancing. ,dress,68.0,8,27.0,2015-06-03,3.0,2,large,4,1
fit,85200,32dd,875667,140.0,8.0,other,"Absolutely beautiful dress. The details were incredible. 

Pros:
-Unique 
-Elegant and sophisticated

Cons
-Extremely tight in the bust area (I had to wear a bra with no padding and it was still extremely tight). I don't know if sizing up would be ideal, as every other portion of the dress fit well. 
",hourglass,Elegance and sophistication ,dress,66.0,8,30.0,2017-10-21,0.0,2,large,3,1
